"sr_num","service_type","days_to_service"
"221819",Tree Removal,51
"221810",Tree Trim,75
"221801",Tree Stump Grinding,116
"221788",Tree Trim,75
"170035",Tree Trim,75
"221802",Tree Trim,75
"169964",Tree Trim,75
"221799",Tree Removal,51
"221795",Tree Removal,51
"221794",Tree Removal,51
"221793",Tree Trim,75
"221792",Tree Trim,75
"221784",Tree Trim,75
"221774",Tree Trim,75
"221773",Tree Removal,51
"221737",Tree Trim,75
"221770",Tree Trim,75
"221765",Tree Removal,51
"221745",Tree Removal,51
"221733",Tree Trim,75
"221757",Tree Trim,75
"221772",Tree Trim,75
"221746",Tree Code Violation,52
"221747",Tree Trim,75
"221736",Tree Removal,51
"221728",Tree Trim,75
"221720",Tree Trim,75
"221710",Tree Trim,75
"221705",Tree Trim,75
"221704",Tree Trim,75
"221693",Tree Stump Grinding,116
"170846",Tree Trim,75
"170070",Tree Trim,75
"221679",Tree Trim,75
"221676",Tree Trim,75
"221675",Tree Trim,75
"221665",Tree Trim,75
"221656",Tree Stump Grinding,116
"221654",Tree Removal,51
"170114",Tree Removal,51
"221652",Tree Trim,75
"221648",Tree Trim,75
"170250",Tree Removal,51
"221645",Tree Trim,75
"221655",Tree Trim,75
"221615",Tree Removal,51
"221624",Tree Removal,51
"221623",Tree Removal,51
"221622",Tree Trim,75
"221609",Tree Removal,51
"221610",Tree Trim,75
"170670",Tree Stump Grinding,116
"221604",Tree Trim,75
"170950",Tree Trim,75
"169978",Tree Trim,75
"170246",Tree Trim,75
"221593",Tree Trim,75
"221592",Tree Trim,75
"170264",Tree Removal,51
"170238",Tree Removal,51
"170216",Tree Trim,75
"221591",Tree Code Violation,52
"170143",Tree Trim,75
"170127",Tree Trim,75
"170620",Tree Removal,51
"170212",Tree Trim,75
"170261",Tree Removal,51
"170115",Tree Trim,75
"221589",Tree Removal,51
"170278",Tree Removal,51
"170393",Tree Removal,51
"221578",Tree Trim,75
"221579",Tree Trim,75
"170449",Tree Trim,75
"170419",Tree Removal,51
"221574",Tree Trim,75
"170999",Tree Removal,51
"221572",Tree Trim,75
"170884",Tree Trim,75
"170621",Tree Trim,75
"221825",Tree Trim,82
"221548",Tree Removal,51
"170974",Tree Trim,75
"169991",Tree Trim,75
"221569",Tree Trim,75
"221570",Tree Trim,75
"221567",Tree Trim,75
"170913",Tree Removal,51
"221566",Tree Removal,51
"221573",Tree Trim,75
"170715",Tree Removal,51
"221550",Tree Removal,51
"170633",Tree Trim,75
"221546",Tree Code Violation,52
"170347",Tree Trim,75
"221499",Tree Removal,51
"221544",Tree Removal,51
"170324",Tree Removal,51
"221534",Tree Trim,75
"170337",Tree Removal,51
"170343",Tree Trim,75
"221530",Tree Removal,51
"221529",Tree Trim,75
"170222",Tree Trim,75
"221500",Tree Removal,51
"170217",Tree Trim,75
"170028",Tree Trim,75
"170866",Tree Trim,75
"221497",Tree Planting,25
"170712",Tree Removal,51
"221495",Tree Trim,75
"221488",Tree Removal,51
"170333",Tree Removal,51
"221491",Tree Trim,75
"221487",Tree Removal,51
"170189",Tree Trim,75
"170154",Tree Trim,75
"171096",Tree Removal,51
"170252",Tree Trim,75
"170274",Tree Trim,75
"170313",Tree Trim,75
"221469",Tree Trim,75
"171070",Tree Removal,51
"171064",Tree Trim,75
"170460",Tree Trim,75
"170375",Tree Trim,75
"221468",Tree Removal,51
"170542",Tree Removal,51
"221467",Tree Removal,51
"221464",Tree Removal,51
"171124",Tree Trim,75
"170532",Tree Trim,75
"171030",Tree Removal,51
"170323",Tree Removal,51
"170536",Tree Trim,75
"221460",Tree Trim,75
"221461",Tree Removal,51
"221442",Tree Removal,51
"221425",Tree Removal,51
"221437",Tree Code Violation,52
"170439",Tree Removal,51
"221419",Tree Removal,51
"171067",Tree Removal,51
"221415",Tree Removal,51
"221410",Tree Removal,51
"221403",Tree Removal,51
"221386",Tree Removal,51
"170258",Tree Trim,75
"221381",Tree Removal,51
"170626",Tree Trim,75
"221355",Tree Removal,51
"171079",Tree Trim,75
"221372",Tree Removal,51
"221367",Tree Trim,75
"221364",Tree Code Violation,52
"221363",Tree Trim,75
"221361",Tree Removal,51
"221347",Tree Removal,51
"221340",Tree Trim,75
"221339",Tree Removal,51
"221338",Tree Trim,75
"221334",Tree Trim,75
"221330",Tree Code Violation,52
"221315",Tree Trim,75
"221314",Tree Trim,75
"221311",Tree Trim,75
"221310",Tree Trim,75
"221306",Tree Trim,75
"221284",Tree Trim,75
"221283",Tree Stump Grinding,116
"221276",Tree Trim,75
"221275",Tree Trim,75
"221268",Tree Trim,75
"170499",Tree Trim,75
"171164",Tree Trim,75
"221263",Tree Trim,75
"221287",Tree Removal,52
"221234",Tree Trim,75
"221192",Tree Trim,75
"221201",Tree Stump Grinding,116
"221221",Tree Trim,75
"221218",Tree Trim,75
"221191",Tree Removal,51
"221155",Tree Trim,75
"221169",Tree Removal,51
"221168",Tree Trim,75
"221161",Tree Trim,75
"221154",Tree Removal,51
"221151",Tree Removal,51
"221150",Tree Trim,75
"221149",Tree Trim,75
"170221",Tree Trim,75
"221136",Tree Trim,75
"221118",Tree Removal,51
"221083",Tree Trim,75
"221121",Tree Removal,51
"221120",Tree Trim,75
"221101",Tree Removal,51
"221100",Tree Trim,75
"221097",Tree Trim,75
"221080",Tree Removal,51
"221072",Tree Trim,75
"221075",Tree Trim,75
"221063",Tree Trim,75
"221048",Tree Removal,51
"221027",Tree Removal,51
"221001",Tree Trim,75
"221019",Tree Removal,51
"221017",Tree Stump Grinding,116
"221018",Tree Trim,75
"221014",Tree Removal,51
"221024",Tree Code Violation,52
"221012",Tree Removal,51
"221011",Tree Code Violation,52
"221008",Tree Trim,75
"170348",Tree Trim,75
"171112",Tree Trim,75
"170752",Tree Trim,75
"220984",Tree Removal,51
"220950",Tree Trim,75
"221009",Tree Removal,52
"220959",Tree Removal,51
"220945",Tree Removal,51
"171169",Tree Removal,51
"220932",Tree Stump Grinding,116
"220931",Tree Trim,75
"220906",Tree Trim,75
"220907",Tree Removal,51
"220902",Tree Trim,75
"220882",Tree Trim,75
"170388",Tree Removal,51
"220877",Tree Removal,51
"220873",Tree Trim,75
"220872",Tree Trim,75
"220861",Tree Trim,75
"220836",Tree Trim,75
"220844",Tree Removal,51
"220853",Tree Removal,51
"220842",Tree Trim,75
"220837",Tree Code Violation,52
"220838",Tree Removal,51
"220832",Tree Removal,51
"170088",Tree Trim,75
"170870",Tree Trim,75
"220825",Tree Trim,75
"220804",Tree Trim,75
"220812",Tree Removal,51
"220821",Tree Removal,52
"220796",Tree Removal,51
"220803",Tree Stump Grinding,116
"171207",Tree Trim,75
"170609",Tree Trim,75
"220801",Tree Removal,51
"220799",Tree Trim,75
"220797",Tree Removal,51
"171217",Tree Trim,75
"171223",Tree Trim,75
"171246",Tree Removal,51
"171281",Tree Removal,51
"220792",Tree Trim,75
"220790",Tree Trim,75
"171166",Tree Trim,75
"220753",Tree Removal,51
"170823",Tree Removal,51
"220783",Tree Trim,75
"171143",Tree Trim,75
"220782",Tree Removal,51
"220781",Tree Removal,51
"220766",Tree Removal,51
"170319",Tree Trim,75
"220756",Tree Stump Grinding,116
"220755",Tree Trim,75
"220752",Tree Trim,75
"220719",Tree Removal,51
"220688",Tree Removal,51
"220693",Tree Removal,51
"170321",Tree Trim,75
"170322",Tree Trim,75
"220709",Tree Trim,75
"220707",Tree Removal,51
"220704",Tree Stump Grinding,116
"171283",Tree Trim,75
"220703",Tree Trim,75
"220683",Tree Trim,75
"220701",Tree Removal,51
"170050",Tree Removal,51
"171265",Tree Removal,51
"171136",Tree Trim,75
"220696",Tree Trim,75
"220695",Tree Removal,51
"220691",Tree Removal,51
"220649",Tree Removal,51
"220669",Tree Trim,75
"220656",Tree Stump Grinding,116
"171294",Tree Removal,51
"171327",Tree Removal,51
"171245",Tree Removal,51
"170932",Tree Trim,75
"171312",Tree Removal,51
"170472",Tree Trim,75
"170650",Tree Trim,75
"171264",Tree Removal,51
"171198",Tree Removal,51
"170689",Tree Trim,75
"220657",Tree Trim,75
"220651",Tree Removal,51
"220650",Tree Removal,51
"220619",Tree Trim,75
"220646",Tree Trim,75
"220645",Tree Removal,51
"220637",Tree Removal,51
"220627",Tree Removal,51
"220643",Tree Stump Grinding,116
"220638",Tree Planting,25
"220647",Tree Removal,51
"170683",Tree Trim,75
"220625",Tree Trim,75
"171357",Tree Removal,51
"220616",Tree Trim,75
"220614",Tree Removal,51
"220608",Tree Trim,75
"220609",Tree Removal,51
"220607",Tree Removal,51
"220604",Tree Stump Grinding,116
"220594",Tree Trim,75
"220598",Tree Trim,75
"220582",Tree Removal,51
"220574",Tree Trim,75
"220570",Tree Trim,75
"220569",Tree Code Violation,52
"220568",Tree Removal,51
"220561",Tree Removal,51
"220560",Tree Trim,75
"220567",Tree Removal,51
"170417",Tree Trim,75
"220554",Tree Removal,51
"220548",Tree Removal,51
"220542",Tree Removal,51
"220541",Tree Removal,51
"220538",Tree Removal,51
"220537",Tree Removal,51
"171056",Tree Removal,51
"220540",Tree Planting,26
"220529",Tree Removal,51
"220472",Tree Removal,51
"220515",Tree Removal,51
"220508",Tree Trim,75
"220504",Tree Stump Grinding,116
"170346",Tree Trim,75
"220530",Tree Trim,76
"171366",Tree Trim,75
"220484",Tree Removal,51
"170461",Tree Trim,75
"220480",Tree Trim,75
"220475",Tree Trim,75
"170359",Tree Trim,75
"170351",Tree Trim,75
"220375",Tree Removal,51
"220456",Tree Removal,51
"220436",Tree Removal,51
"220389",Tree Removal,51
"220372",Tree Trim,75
"220368",Tree Trim,75
"220358",Tree Trim,75
"170745",Tree Removal,51
"220357",Tree Trim,75
"220339",Tree Stump Grinding,116
"220332",Tree Trim,75
"220304",Tree Trim,75
"220320",Tree Removal,51
"170774",Tree Removal,51
"220314",Tree Trim,75
"220310",Tree Trim,75
"220313",Tree Removal,51
"220309",Tree Trim,75
"220356",Tree Trim,75
"220302",Tree Trim,75
"220300",Tree Trim,75
"220303",Tree Trim,75
"220296",Tree Removal,51
"220284",Tree Trim,75
"220291",Tree Stump Grinding,116
"220286",Tree Trim,75
"220281",Tree Trim,75
"220266",Tree Code Violation,52
"220276",Tree Trim,75
"220258",Tree Trim,75
"220250",Tree Removal,51
"220208",Tree Stump Grinding,116
"220238",Tree Stump Grinding,117
"220225",Tree Removal,51
"220223",Tree Trim,75
"220222",Tree Code Violation,52
"220216",Tree Trim,75
"220210",Tree Removal,51
"220202",Tree Trim,75
"220200",Tree Removal,51
"220199",Tree Trim,75
"220197",Tree Trim,75
"170746",Tree Removal,51
"170741",Tree Removal,51
"220186",Tree Removal,51
"171369",Tree Removal,51
"170751",Tree Removal,51
"220172",Tree Trim,75
"220168",Tree Trim,75
"220165",Tree Trim,75
"220163",Tree Removal,51
"220160",Tree Removal,51
"220159",Tree Trim,75
"220157",Tree Removal,51
"220145",Tree Removal,51
"220090",Tree Removal,51
"220101",Tree Stump Grinding,116
"220128",Tree Removal,51
"170766",Tree Removal,51
"220127",Tree Trim,75
"171399",Tree Removal,51
"220072",Tree Trim,75
"220099",Tree Removal,51
"220096",Tree Stump Grinding,116
"220086",Tree Trim,75
"220078",Tree Code Violation,52
"170344",Tree Trim,75
"220074",Tree Removal,51
"220068",Tree Trim,75
"220067",Tree Removal,51
"220066",Tree Trim,75
"220065",Tree Trim,75
"220041",Tree Removal,51
"220063",Tree Trim,75
"170781",Tree Removal,51
"220057",Tree Trim,75
"220053",Tree Trim,75
"220052",Tree Removal,51
"220049",Tree Removal,51
"220047",Tree Code Violation,52
"220038",Tree Removal,51
"220033",Tree Removal,51
"219993",Tree Removal,51
"219982",Tree Removal,51
"220025",Tree Trim,75
"220024",Tree Trim,75
"219976",Tree Stump Grinding,116
"220012",Tree Removal,51
"220002",Tree Removal,51
"219980",Tree Removal,51
"171323",Tree Trim,75
"219998",Tree Code Violation,52
"219991",Tree Removal,51
"219992",Tree Stump Grinding,116
"219979",Tree Trim,75
"219978",Tree Trim,75
"219970",Tree Trim,75
"219967",Tree Trim,75
"219951",Tree Removal,51
"219972",Tree Code Violation,52
"220094",Tree Removal,57
"220016",Tree Removal,53
"219942",Tree Trim,75
"219973",Tree Removal,51
"219931",Tree Code Violation,52
"170765",Tree Removal,51
"171257",Tree Trim,75
"171415",Tree Removal,51
"171431",Tree Removal,51
"170685",Tree Trim,75
"170502",Tree Trim,75
"170453",Tree Stump Grinding,116
"170428",Tree Trim,75
"219896",Tree Trim,75
"171470",Tree Trim,75
"170488",Tree Trim,75
"170490",Tree Stump Grinding,116
"171287",Tree Trim,75
"170402",Tree Stump Grinding,116
"171376",Tree Removal,51
"170503",Tree Trim,75
"219881",Tree Removal,51
"171500",Tree Removal,51
"219882",Tree Removal,51
"170923",Tree Removal,51
"171247",Tree Trim,75
"171393",Tree Removal,51
"170808",Tree Removal,51
"170907",Tree Removal,51
"171446",Tree Removal,51
"171515",Tree Removal,51
"171380",Tree Removal,51
"171212",Tree Trim,75
"171199",Tree Trim,75
"219848",Tree Trim,75
"170834",Tree Removal,51
"219868",Tree Trim,75
"219898",Tree Removal,51
"219865",Tree Trim,75
"219863",Tree Removal,51
"219860",Tree Trim,75
"219856",Tree Trim,75
"219853",Tree Trim,75
"219849",Tree Removal,51
"219844",Tree Removal,51
"219842",Tree Removal,51
"219847",Tree Stump Grinding,118
"219839",Tree Trim,75
"219838",Tree Trim,75
"219837",Tree Trim,75
"219832",Tree Stump Grinding,116
"219831",Tree Trim,75
"219801",Tree Trim,75
"219826",Tree Removal,51
"219811",Tree Trim,75
"219800",Tree Removal,51
"219797",Tree Removal,51
"219786",Tree Trim,75
"219781",Tree Trim,75
"219780",Tree Trim,75
"219764",Tree Removal,51
"219769",Tree Removal,51
"219766",Tree Trim,75
"219760",Tree Removal,51
"219740",Tree Removal,51
"219773",Tree Removal,51
"219772",Tree Trim,75
"219761",Tree Trim,75
"219759",Tree Trim,75
"219756",Tree Removal,51
"219748",Tree Trim,75
"219739",Tree Trim,75
"219737",Tree Trim,75
"219736",Tree Trim,75
"219734",Tree Removal,51
"219733",Tree Removal,51
"219744",Tree Removal,51
"219682",Tree Removal,51
"219708",Tree Code Violation,52
"219718",Tree Removal,51
"219720",Tree Trim,75
"219716",Tree Trim,75
"219714",Tree Trim,75
"171435",Tree Trim,75
"219691",Tree Removal,51
"219692",Tree Trim,75
"219689",Tree Trim,75
"219685",Tree Trim,75
"219684",Tree Trim,75
"219679",Tree Removal,51
"219663",Tree Removal,51
"219676",Tree Trim,75
"171460",Tree Trim,75
"219626",Tree Trim,75
