sr#,problem_code,date_initiated,description,category,dispatch_to,address,zone,keymap,zip_code,status,initiated_date,initiated_time
177116,Tree Trim,2021-01-12 12:15 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",4603 E CROSSTIMBERS ,"4, ZONE",454L,5560a,CLOSED,2021-01-12,12:15 PM
177117,Tree Trim,2021-01-12 12:17 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",4603 E CROSSTIMBERS ,"4, ZONE",454L,5560a,CLOSED,2021-01-12,12:17 PM
177118,Tree Trim,2021-01-12 12:18 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",7003  HOMESTEAD ,"4, ZONE",454R,5560d,CLOSED,2021-01-12,12:18 PM
177119,Tree Removal,2021-01-12 01:06 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",12017  CARLSBAD ,"7, ZONE",570M,5052d,CLOSED,2021-01-12,01:06 PM
177123,Tree Removal,2021-01-12 02:33 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",7327  AQUA ,"2, ZONE",529J,4854b,CLOSED,2021-01-12,02:33 PM
177124,Tree Removal,2021-01-12 03:25 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",1402  DU BARRY ,"3, ZONE",452N,5260c,CLOSED,2021-01-12,03:25 PM
177127,Tree Code Violation,2021-01-12 04:44 PM,Tree Code Violation Inspection,TREEPROTECTION,"UF - JONES, CODY",619 E 8TH ,"3, ZONE",493A,5358a,CLOSED,2021-01-12,04:44 PM
177128,Tree Trim,2021-01-12 04:45 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",3939  GIBSON ,"2, ZONE",492M,5357a,CLOSED,2021-01-12,04:45 PM
177132,Tree Removal,2021-01-13 08:26 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",8602 N MAIN ,"3, ZONE",453J,5360c,CLOSED,2021-01-13,08:26 AM
177133,Tree Removal,2021-01-13 08:32 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",4401  AIRLINE ,"3, ZONE",453K,5360b,CLOSED,2021-01-13,08:32 AM
177134,Tree Removal,2021-01-13 08:42 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",211  WOOLWORTH ,"4, ZONE",494D,5558a,CLOSED,2021-01-13,08:42 AM
177136,Tree Removal,2021-01-13 12:28 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",6601  DUNLAP ,"7, ZONE",531E,5055d,CLOSED,2021-01-13,12:28 PM
177137,Tree Removal,2021-01-13 12:56 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",5710  WYANDOTT ,"3, ZONE",450C,5061c,CLOSED,2021-01-13,12:56 PM
