"workorderid","description","priority","status","submit_to","proj_start_date","proj_finish_date","actual_start","actual_finish","shop","map_page","address","location","category","date_initiated","project","total_cost","comments","zone","request_ids","resolution","sr_problem_code","sr_description","sr_priority","proj_difference","actual_difference","request_id1","request_id2","request_id3","request_id4","request_id5","request_id6","request_id7","request_id8","request_id9"
354978,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 12:21:00","2020-02-05 12:21:00","2020-01-07 12:00:00","2020-01-13 12:00:00",C,"493N","1400 FAIRVIEW AVE",Trim the 20inches oklv to clear the traffic lights and the vines on the pole to clear the signs ,TREEMAINTENANCE,"2020-01-06 12:21:00",FY20 - Tree Maintenance,89.0,inv 10148,"2, ZONE","169097","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,6,"169097","","","","","","","",""
356224,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-06-12 13:33:00","2020-07-12 13:33:00","2020-09-14 12:00:00","2020-09-18 12:00:00",K,"571P","6311  HEATHERBLOOM ",Prune 34 dbh private live oak for streetlight clearance,TREEMAINTENANCE,"2020-06-12 13:33:00",FY21 - Tree Maintenance ,105.0,inv 106456,"7, ZONE","172906","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,4,"172906","","","","","","","",""
356397,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-06-23 13:11:00","2020-07-23 13:11:00","2020-10-13 12:00:00","2020-10-22 12:00:00",G,"491H","469 N POST OAK LN",Trim two trees 8feet away from the building ,TREEMAINTENANCE,"2020-06-23 13:11:00",FY21 - Tree Maintenance ,178.0,INV 107508,"2, ZONE","173122","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,9,"173122","","","","","","","",""
357922,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-10-07 12:56:00","2020-11-06 12:56:00","2020-11-19 12:00:00","2020-11-27 12:00:00",H,"413Y","10818 BAUMAN RD","Trim 22"" pecan for 8' over the roof clearance.",TREEMAINTENANCE,"2020-10-07 12:56:00",FY21 - Tree Maintenance ,89.0,inv 108345,"4, ZONE","175713","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,8,"175713","","","","","","","",""
359853,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-05-24 13:30:00","2021-06-23 13:30:00","2021-08-03 12:00:00","2021-09-21 12:00:00",H,"453W","4009  NORHILL ",Remove and stump grind Water Oak. ,TREEMAINTENANCE,"2021-05-24 01:30 PM",FY22 - Tree Maintenance,630.0,Invoice #118770.,"3, ZONE","179171","00 - Work completed.",Tree Removal,Tree Removal Inspection,0,30,49,"179171","","","","","","","",""
359983,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-06-01 09:29:00","2021-07-01 09:29:00","2021-08-03 12:00:00","2021-08-31 12:00:00",B,"494C","2210  GAGNE ",Prune 2 trees for 14' over the street clearance along street.,TREEMAINTENANCE,"2021-06-01 09:29 AM",FY22 - Tree Maintenance,157.0,Invoice # 118061.,"4, ZONE","179276","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,28,"179276","","","","","","","",""
360401,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-06-24 10:28:00","2021-07-24 10:28:00","2021-08-03 12:00:00","2021-08-26 12:00:00",B,"494C","5602  GRUMBACH ","Prune 22"" cedar  for 14' over the street clearance.",TREEMAINTENANCE,"2021-06-24 10:28 AM",FY22 - Tree Maintenance,89.0,Invoice # 117860.,"4, ZONE","180177","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,23,"180177","","","","","","","",""
360543,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-07-02 13:11:00","2021-08-01 13:11:00","2021-09-01 12:00:00","2021-09-30 12:00:00",E,"618S","16026 EASTCAPE DR,HOUSTON,77598",Trim private ash tree to 14' above street ,TREEMAINTENANCE,"2021-07-02 01:11 PM",FY22 - Tree Maintenance,136.0,Invoice #119201.,"5, ZONE","180565","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,29,"180565","","","","","","","",""
360622,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-07-08 13:38:00","2021-08-07 13:38:00","2021-10-13 12:00:00","2021-12-23 12:00:00",C,"452K","1252 CHANTILLY LN,HOUSTON,77018",Trim Slash Pine to clear streetlight. ,TREEMAINTENANCE,"2021-07-08 01:38 PM",FY22 - Tree Maintenance,94.0,Invoice #123136.,"3, ZONE","180491","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,71,"180491","","","","","","","",""
361931,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-10-22 10:02:00","2021-11-21 10:02:00","2021-12-21 12:00:00","2022-01-06 12:00:00",I,"494X","1818 DUMBLE ST",Trim 8feet on the trees on the walking trail ,TREEMAINTENANCE,"2021-10-22 10:02 AM",FY22 - Tree Maintenance,1029.0,Invoice #123205.,"5, ZONE","182741","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,16,"182741","","","","","","","",""
